year,community_area,primary_type,count
2001,17,MOTOR VEHICLE THEFT,6
2001,17,HOMICIDE,2
2001,17,DECEPTIVE PRACTICE,4
2001,17,OFFENSE INVOLVING CHILDREN,1
2001,17,THEFT,11
2001,17,OTHER OFFENSE,4
2001,17,SEX OFFENSE,1
2001,18,OTHER OFFENSE,1
2001,18,HOMICIDE,1
2001,18,THEFT,6
2001,18,MOTOR VEHICLE THEFT,3
2001,18,DECEPTIVE PRACTICE,1
2001,19,THEFT,25
2001,19,DECEPTIVE PRACTICE,5
2001,19,CRIM SEXUAL ASSAULT,5
2001,19,CRIMINAL SEXUAL ASSAULT,1
2001,19,BATTERY,2
2001,19,OFFENSE INVOLVING CHILDREN,11
2001,19,MOTOR VEHICLE THEFT,29
2001,19,OTHER OFFENSE,2
2001,19,BURGLARY,2
2001,19,HOMICIDE,7
2001,19,SEX OFFENSE,5
2001,19,PROSTITUTION,4
2001,20,HOMICIDE,3
2001,20,OFFENSE INVOLVING CHILDREN,8
2001,20,OTHER OFFENSE,1
2001,20,CRIM SEXUAL ASSAULT,1
2001,20,THEFT,12
2001,20,DECEPTIVE PRACTICE,4
2001,20,MOTOR VEHICLE THEFT,5
2001,21,OTHER OFFENSE,4
2001,21,BATTERY,1
2001,21,CRIM SEXUAL ASSAULT,3
2001,21,HOMICIDE,7
2001,21,MOTOR VEHICLE THEFT,15
2001,21,OFFENSE INVOLVING CHILDREN,3
2001,21,DECEPTIVE PRACTICE,4
2001,21,CRIMINAL DAMAGE,4
2001,21,THEFT,17
2001,21,ASSAULT,2
2001,22,THEFT,48
2001,22,OTHER OFFENSE,3
2001,22,MOTOR VEHICLE THEFT,24
2001,22,DECEPTIVE PRACTICE,16
2001,22,CRIMINAL DAMAGE,1
2001,22,SEX OFFENSE,5
2001,22,ROBBERY,2
2001,22,BATTERY,3
2001,22,OFFENSE INVOLVING CHILDREN,10
2001,22,BURGLARY,2
2001,22,CRIM SEXUAL ASSAULT,5
2001,22,HOMICIDE,15
2001,23,CRIM SEXUAL ASSAULT,5
2001,23,DECEPTIVE PRACTICE,7
2001,23,ROBBERY,6
2001,23,BURGLARY,1
