year,community_area,primary_type,count
2002,46,CRIMINAL TRESPASS,149
2002,46,INTIMIDATION,6
2002,46,BATTERY,1519
2002,46,CRIM SEXUAL ASSAULT,28
2002,46,PUBLIC PEACE VIOLATION,29
2002,46,NARCOTICS,477
2002,46,SEX OFFENSE,24
2002,46,LIQUOR LAW VIOLATION,16
2002,46,CRIMINAL DAMAGE,810
2002,46,OTHER OFFENSE,392
2002,46,STALKING,5
2002,46,ASSAULT,541
2002,46,PROSTITUTION,37
2002,46,INTERFERENCE WITH PUBLIC OFFICER,3
2002,46,KIDNAPPING,17
2002,46,MOTOR VEHICLE THEFT,310
2002,46,DECEPTIVE PRACTICE,96
2002,47,OTHER OFFENSE,42
2002,47,THEFT,77
2002,47,PUBLIC PEACE VIOLATION,1
2002,47,WEAPONS VIOLATION,1
2002,47,OFFENSE INVOLVING CHILDREN,1
2002,47,ASSAULT,38
2002,47,INTIMIDATION,1
2002,47,CRIMINAL TRESPASS,5
2002,47,DECEPTIVE PRACTICE,3
2002,47,ARSON,2
2002,47,CRIM SEXUAL ASSAULT,5
2002,47,GAMBLING,1
2002,47,BATTERY,101
2002,47,MOTOR VEHICLE THEFT,24
2002,47,CRIMINAL DAMAGE,88
2002,47,ROBBERY,7
2002,47,KIDNAPPING,1
2002,47,NARCOTICS,35
2002,47,BURGLARY,37
2002,48,CRIMINAL TRESPASS,30
2002,48,NARCOTICS,80
2002,48,BATTERY,329
2002,48,KIDNAPPING,12
2002,48,ARSON,1
2002,48,ROBBERY,89
2002,48,SEX OFFENSE,5
2002,48,HOMICIDE,5
2002,48,MOTOR VEHICLE THEFT,142
2002,48,INTERFERENCE WITH PUBLIC OFFICER,2
2002,48,DECEPTIVE PRACTICE,45
2002,48,PUBLIC PEACE VIOLATION,3
2002,48,CRIM SEXUAL ASSAULT,12
2002,48,INTIMIDATION,5
2002,48,OTHER OFFENSE,196
2002,48,THEFT,331
2002,48,WEAPONS VIOLATION,13
2002,48,CRIMINAL DAMAGE,248
2002,48,BURGLARY,77
2002,48,OFFENSE INVOLVING CHILDREN,17
2002,48,LIQUOR LAW VIOLATION,3
2002,48,GAMBLING,1
2002,48,ASSAULT,113
2002,49,PROSTITUTION,69
2002,49,CRIMINAL TRESPASS,167
2002,49,ASSAULT,779
2002,49,CRIM SEXUAL ASSAULT,52
2002,49,KIDNAPPING,17
2002,49,PUBLIC PEACE VIOLATION,33
2002,49,OTHER OFFENSE,572
2002,49,CRIMINAL SEXUAL ASSAULT,2
2002,49,OFFENSE INVOLVING CHILDREN,57
2002,49,ARSON,22
2002,49,MOTOR VEHICLE THEFT,377
2002,49,NARCOTICS,796
2002,49,WEAPONS VIOLATION,90
2002,49,INTERFERENCE WITH PUBLIC OFFICER,7
2002,49,BATTERY,2174
2002,49,LIQUOR LAW VIOLATION,6
2002,49,CRIMINAL DAMAGE,1181
2002,49,DECEPTIVE PRACTICE,195
2002,49,SEX OFFENSE,48
2002,49,HOMICIDE,9
2002,49,ROBBERY,359
2002,49,STALKING,4
2002,49,INTIMIDATION,6
2002,49,GAMBLING,18
2002,49,BURGLARY,473
2002,49,THEFT,1290
2002,50,OFFENSE INVOLVING CHILDREN,12
2002,50,SEX OFFENSE,6
2002,50,THEFT,236
2002,50,BURGLARY,75
2002,50,CRIM SEXUAL ASSAULT,11
2002,50,INTERFERENCE WITH PUBLIC OFFICER,3
2002,50,NARCOTICS,92
2002,50,PUBLIC PEACE VIOLATION,14
2002,50,ROBBERY,42
2002,50,ASSAULT,139
2002,50,MOTOR VEHICLE THEFT,78
2002,50,INTIMIDATION,5
2002,50,HOMICIDE,5
2002,50,DECEPTIVE PRACTICE,24
2002,50,KIDNAPPING,6
2002,50,OTHER OFFENSE,110
2002,50,WEAPONS VIOLATION,14
2002,50,BATTERY,314
2002,50,CRIMINAL TRESPASS,30
2002,50,LIQUOR LAW VIOLATION,2
2002,50,CRIMINAL DAMAGE,141
2002,51,OFFENSE INVOLVING CHILDREN,21
2002,51,INTIMIDATION,3
2002,51,CRIMINAL DAMAGE,326
2002,51,HOMICIDE,5
2002,51,GAMBLING,3
2002,51,WEAPONS VIOLATION,22
2002,51,ARSON,6
2002,51,KIDNAPPING,6
2002,51,INTERFERENCE WITH PUBLIC OFFICER,3
2002,51,ROBBERY,69
2002,51,SEX OFFENSE,8
2002,51,LIQUOR LAW VIOLATION,4
2002,51,ASSAULT,204
2002,51,DECEPTIVE PRACTICE,55
2002,51,NARCOTICS,136
2002,51,PUBLIC PEACE VIOLATION,11
2002,51,MOTOR VEHICLE THEFT,104
2002,51,THEFT,358
2002,51,CRIMINAL TRESPASS,73
2002,51,BURGLARY,102
2002,51,CRIM SEXUAL ASSAULT,8
2002,51,OTHER OFFENSE,164
2002,51,BATTERY,438
2002,52,HOMICIDE,1
2002,52,DECEPTIVE PRACTICE,41
2002,52,BURGLARY,92
2002,52,NARCOTICS,106
2002,52,ROBBERY,27
2002,52,WEAPONS VIOLATION,18
2002,52,CRIMINAL TRESPASS,33
2002,52,CRIMINAL DAMAGE,395
2002,52,KIDNAPPING,12
2002,52,ARSON,2
2002,52,THEFT,240
2002,52,SEX OFFENSE,5
2002,52,INTERFERENCE WITH PUBLIC OFFICER,1
2002,52,MOTOR VEHICLE THEFT,90
2002,52,PUBLIC PEACE VIOLATION,5
2002,52,OTHER OFFENSE,147
2002,52,ASSAULT,158
2002,52,OFFENSE INVOLVING CHILDREN,18
2002,52,INTIMIDATION,2
2002,52,STALKING,1
2002,52,BATTERY,310
2002,52,CRIM SEXUAL ASSAULT,8
2002,52,LIQUOR LAW VIOLATION,8
2002,53,INTERFERENCE WITH PUBLIC OFFICER,1
2002,53,OFFENSE INVOLVING CHILDREN,47
2002,53,SEX OFFENSE,34
2002,53,THEFT,750
2002,53,CRIMINAL DAMAGE,713
2002,53,NARCOTICS,420
2002,53,CRIM SEXUAL ASSAULT,35
2002,53,STALKING,2
2002,53,ASSAULT,529
2002,53,BURGLARY,286
2002,53,LIQUOR LAW VIOLATION,2
2002,53,HOMICIDE,8
2002,53,CRIMINAL TRESPASS,69
2002,53,PUBLIC PEACE VIOLATION,35
2002,53,PROSTITUTION,84
2002,53,ROBBERY,208
2002,53,MOTOR VEHICLE THEFT,225
2002,53,INTIMIDATION,7
2002,53,OTHER OFFENSE,387
2002,53,KIDNAPPING,15
2002,53,WEAPONS VIOLATION,46
2002,53,GAMBLING,16
2002,53,ARSON,25
2002,53,BATTERY,1524
2002,53,DECEPTIVE PRACTICE,73
2002,54,ARSON,2
2002,54,INTIMIDATION,2
2002,54,PROSTITUTION,2
2002,54,NARCOTICS,147
2002,54,CRIM SEXUAL ASSAULT,8
2002,54,CRIMINAL DAMAGE,268
2002,54,LIQUOR LAW VIOLATION,2
2002,54,OFFENSE INVOLVING CHILDREN,16
2002,54,GAMBLING,6
2002,54,ASSAULT,207
2002,54,SEX OFFENSE,16
2002,54,BATTERY,714
2002,54,HOMICIDE,1
2002,54,THEFT,175
2002,54,PUBLIC PEACE VIOLATION,8
2002,54,MOTOR VEHICLE THEFT,41
2002,54,DECEPTIVE PRACTICE,11
2002,54,INTERFERENCE WITH PUBLIC OFFICER,2
2002,54,BURGLARY,95
2002,54,WEAPONS VIOLATION,15
2002,54,CRIMINAL TRESPASS,74
2002,54,OTHER OFFENSE,123
2002,54,KIDNAPPING,5
2002,54,ROBBERY,55
2002,55,THEFT,142
2002,55,CRIMINAL TRESPASS,13
2002,55,CRIMINAL DAMAGE,148
2002,55,SEX OFFENSE,4
2002,55,HOMICIDE,2
2002,55,ROBBERY,4
2002,55,PUBLIC PEACE VIOLATION,2
2002,55,NARCOTICS,21
2002,55,MOTOR VEHICLE THEFT,29
2002,55,GAMBLING,3
2002,55,BURGLARY,61
2002,55,KIDNAPPING,4
2002,55,ASSAULT,48
2002,55,WEAPONS VIOLATION,1
2002,55,STALKING,1
2002,55,LIQUOR LAW VIOLATION,1
2002,55,BATTERY,131
2002,55,ARSON,2
2002,55,OTHER OFFENSE,83
2002,55,OFFENSE INVOLVING CHILDREN,6
2002,55,DECEPTIVE PRACTICE,16
2002,56,PROSTITUTION,182
2002,56,ASSAULT,196
2002,56,CRIM SEXUAL ASSAULT,5
2002,56,THEFT,730
2002,56,LIQUOR LAW VIOLATION,13
2002,56,OFFENSE INVOLVING CHILDREN,14
2002,56,BURGLARY,275
2002,56,CRIMINAL TRESPASS,72
2002,56,GAMBLING,2
2002,56,MOTOR VEHICLE THEFT,197
2002,56,DECEPTIVE PRACTICE,232
2002,56,PUBLIC PEACE VIOLATION,22
2002,56,INTERFERENCE WITH PUBLIC OFFICER,1
2002,56,WEAPONS VIOLATION,30
2002,56,CRIMINAL DAMAGE,553
2002,56,SEX OFFENSE,14
2002,56,INTIMIDATION,2
2002,56,OTHER OFFENSE,234
2002,56,ROBBERY,121
2002,56,KIDNAPPING,5
2002,56,BATTERY,538
2002,56,ARSON,10
2002,56,NARCOTICS,169
2002,56,HOMICIDE,4
2002,57,ASSAULT,73
2002,57,SEX OFFENSE,11
2002,57,CRIMINAL TRESPASS,20
2002,57,WEAPONS VIOLATION,10
2002,57,ROBBERY,41
2002,57,KIDNAPPING,1
2002,57,PROSTITUTION,26
2002,57,LIQUOR LAW VIOLATION,7
2002,57,BURGLARY,144
2002,57,MOTOR VEHICLE THEFT,110
2002,57,THEFT,287
2002,57,PUBLIC PEACE VIOLATION,6
2002,57,OFFENSE INVOLVING CHILDREN,10
2002,57,CRIMINAL DAMAGE,150
2002,57,DECEPTIVE PRACTICE,31
2002,57,BATTERY,147
2002,57,OTHER OFFENSE,60
2002,57,CRIM SEXUAL ASSAULT,5
2002,57,NARCOTICS,25
2002,58,OTHER OFFENSE,198
2002,58,ARSON,11
2002,58,PUBLIC PEACE VIOLATION,25
2002,58,CRIMINAL TRESPASS,32
2002,58,CRIMINAL DAMAGE,426
2002,58,ASSAULT,200
2002,58,INTERFERENCE WITH PUBLIC OFFICER,3
2002,58,ROBBERY,123
2002,58,BATTERY,566
2002,58,NARCOTICS,204
2002,58,LIQUOR LAW VIOLATION,14
2002,58,INTIMIDATION,6
2002,58,KIDNAPPING,9
2002,58,GAMBLING,2
2002,58,HOMICIDE,8
2002,58,MOTOR VEHICLE THEFT,385
2002,58,THEFT,548
2002,58,WEAPONS VIOLATION,40
2002,58,OBSCENITY,1
2002,58,SEX OFFENSE,32
2002,58,BURGLARY,250
2002,58,OFFENSE INVOLVING CHILDREN,34
2002,58,DECEPTIVE PRACTICE,71
2002,58,PROSTITUTION,179
2002,58,CRIM SEXUAL ASSAULT,13
2002,59,GAMBLING,2
2002,59,BURGLARY,115
2002,59,BATTERY,236
2002,59,OTHER OFFENSE,96
2002,59,INTIMIDATION,1
2002,59,THEFT,437
2002,59,SEX OFFENSE,12
2002,59,ARSON,3
2002,59,MOTOR VEHICLE THEFT,102
2002,59,CRIMINAL TRESPASS,35
2002,59,NARCOTICS,77
2002,59,PROSTITUTION,2
2002,59,OFFENSE INVOLVING CHILDREN,12
2002,59,CRIMINAL DAMAGE,241
2002,59,LIQUOR LAW VIOLATION,2
2002,59,ASSAULT,90
2002,59,PUBLIC PEACE VIOLATION,8
2002,59,ROBBERY,40
2002,59,KIDNAPPING,2
2002,59,CRIM SEXUAL ASSAULT,3
2002,59,WEAPONS VIOLATION,9
2002,59,STALKING,1
2002,59,DECEPTIVE PRACTICE,64
2002,60,KIDNAPPING,14
2002,60,HOMICIDE,2
2002,60,CRIM SEXUAL ASSAULT,9
2002,60,LIQUOR LAW VIOLATION,20
2002,60,BURGLARY,144
2002,60,MOTOR VEHICLE THEFT,169
2002,60,OTHER OFFENSE,160
2002,60,CRIMINAL TRESPASS,56
2002,60,ROBBERY,34
2002,60,OFFENSE INVOLVING CHILDREN,16
2002,60,NARCOTICS,87
2002,60,THEFT,500
2002,60,DECEPTIVE PRACTICE,64
2002,60,STALKING,1
2002,60,SEX OFFENSE,10
2002,60,GAMBLING,1
2002,60,ASSAULT,192
2002,60,CRIMINAL DAMAGE,426
2002,60,WEAPONS VIOLATION,12
2002,60,BATTERY,449
2002,60,PROSTITUTION,37
2002,60,PUBLIC PEACE VIOLATION,13
2002,60,ARSON,7
2002,61,NARCOTICS,863
2002,61,INTIMIDATION,7
2002,61,DECEPTIVE PRACTICE,132
2002,61,THEFT,1195
2002,61,OTHER OFFENSE,354
2002,61,LIQUOR LAW VIOLATION,39
2002,61,BATTERY,1902
2002,61,GAMBLING,19
2002,61,HOMICIDE,14
2002,61,ASSAULT,570
2002,61,WEAPONS VIOLATION,116
2002,61,SEX OFFENSE,27
2002,61,CRIMINAL TRESPASS,150
2002,61,CRIMINAL DAMAGE,906
2002,61,ROBBERY,354
2002,61,STALKING,2
2002,61,INTERFERENCE WITH PUBLIC OFFICER,4
2002,61,MOTOR VEHICLE THEFT,375
2002,61,BURGLARY,442
2002,61,CRIM SEXUAL ASSAULT,32
2002,61,PUBLIC PEACE VIOLATION,54
2002,61,KIDNAPPING,4
2002,61,PROSTITUTION,164
2002,61,OFFENSE INVOLVING CHILDREN,61
2002,61,ARSON,28
2002,62,SEX OFFENSE,7
2002,62,PUBLIC PEACE VIOLATION,4
2002,62,OFFENSE INVOLVING CHILDREN,6
2002,62,GAMBLING,1
2002,62,THEFT,345
2002,62,BATTERY,194
2002,62,CRIMINAL TRESPASS,25
2002,62,WEAPONS VIOLATION,7
2002,62,INTERFERENCE WITH PUBLIC OFFICER,1
2002,62,ASSAULT,61
2002,62,DECEPTIVE PRACTICE,28
2002,62,ROBBERY,44
2002,62,CRIMINAL DAMAGE,225
2002,62,HOMICIDE,2
2002,62,LIQUOR LAW VIOLATION,8
2002,62,CRIM SEXUAL ASSAULT,6
2002,62,ARSON,7
2002,62,OTHER OFFENSE,77
2002,62,KIDNAPPING,2
2002,62,BURGLARY,154
2002,62,NARCOTICS,49
2002,62,MOTOR VEHICLE THEFT,106
2002,63,CRIMINAL TRESPASS,29
2002,63,NARCOTICS,203
2002,63,THEFT,555
2002,63,INTIMIDATION,2
2002,63,ASSAULT,183
2002,63,OTHER OFFENSE,171
2002,63,CRIMINAL DAMAGE,501
2002,63,PUBLIC PEACE VIOLATION,15
2002,63,OFFENSE INVOLVING CHILDREN,23
2002,63,CRIM SEXUAL ASSAULT,11
2002,63,ROBBERY,146
2002,63,SEX OFFENSE,11
2002,63,HOMICIDE,10
2002,63,LIQUOR LAW VIOLATION,10
2002,63,STALKING,1
2002,63,WEAPONS VIOLATION,37
2002,63,MOTOR VEHICLE THEFT,302
2002,63,GAMBLING,5
2002,63,ARSON,14
2002,63,DECEPTIVE PRACTICE,56
2002,63,BURGLARY,260
2002,63,INTERFERENCE WITH PUBLIC OFFICER,3
2002,63,KIDNAPPING,3
2002,63,BATTERY,538
2002,63,PROSTITUTION,1
2002,64,MOTOR VEHICLE THEFT,88
2002,64,ASSAULT,78
2002,64,BATTERY,232
2002,64,PUBLIC PEACE VIOLATION,4
2002,64,SEX OFFENSE,9
2002,64,KIDNAPPING,4
2002,64,ROBBERY,16
2002,64,CRIMINAL DAMAGE,313
2002,64,OTHER OFFENSE,137
2002,64,PROSTITUTION,3
2002,64,CRIMINAL TRESPASS,21
2002,64,STALKING,1
2002,64,GAMBLING,2
2002,64,INTIMIDATION,1
2002,64,DECEPTIVE PRACTICE,69
2002,64,OFFENSE INVOLVING CHILDREN,11
2002,64,CRIM SEXUAL ASSAULT,2
2002,64,NARCOTICS,43
2002,64,LIQUOR LAW VIOLATION,7
2002,64,BURGLARY,137
2002,64,THEFT,273
2002,64,WEAPONS VIOLATION,1
2002,65,OFFENSE INVOLVING CHILDREN,12
2002,65,ARSON,8
2002,65,ROBBERY,52
2002,65,NARCOTICS,72
2002,65,SEX OFFENSE,21
2002,65,BURGLARY,175
2002,65,CRIMINAL TRESPASS,36
2002,65,ASSAULT,121
2002,65,CRIM SEXUAL ASSAULT,10
2002,65,BATTERY,322
2002,65,STALKING,2
2002,65,KIDNAPPING,7
2002,65,PUBLIC PEACE VIOLATION,6
2002,65,INTIMIDATION,2
2002,65,LIQUOR LAW VIOLATION,6
2002,65,WEAPONS VIOLATION,13
2002,65,CRIMINAL DAMAGE,376
2002,65,DECEPTIVE PRACTICE,56
2002,65,MOTOR VEHICLE THEFT,293
2002,65,THEFT,911
2002,65,HOMICIDE,4
2002,65,GAMBLING,6
2002,65,OTHER OFFENSE,169
2002,66,INTIMIDATION,1
2002,66,CRIMINAL DAMAGE,1028
2002,66,CRIM SEXUAL ASSAULT,34
2002,66,PUBLIC PEACE VIOLATION,24
2002,66,SEX OFFENSE,33
2002,66,PROSTITUTION,5
2002,66,WEAPONS VIOLATION,86
2002,66,BURGLARY,540
2002,66,INTERFERENCE WITH PUBLIC OFFICER,6
2002,66,ARSON,16
2002,66,HOMICIDE,9
2002,66,KIDNAPPING,25
2002,66,ROBBERY,395
2002,66,THEFT,1139
2002,66,MOTOR VEHICLE THEFT,681
2002,66,GAMBLING,12
2002,66,DECEPTIVE PRACTICE,172
2002,66,BATTERY,1720
2002,66,OBSCENITY,1
2002,66,LIQUOR LAW VIOLATION,13
2002,66,OTHER OFFENSE,582
2002,66,OFFENSE INVOLVING CHILDREN,66
2002,66,STALKING,1
2002,66,ASSAULT,592
2002,66,CRIMINAL TRESPASS,105
2002,66,NARCOTICS,854
2002,67,NARCOTICS,1230
2002,67,OFFENSE INVOLVING CHILDREN,66
2002,67,WEAPONS VIOLATION,129
2002,67,STALKING,1
2002,67,HOMICIDE,20
2002,67,RITUALISM,1
2002,67,CRIMINAL TRESPASS,156
2002,67,LIQUOR LAW VIOLATION,9
2002,67,GAMBLING,48
2002,67,ARSON,26
2002,67,MOTOR VEHICLE THEFT,472
2002,67,CRIM SEXUAL ASSAULT,61
2002,67,DECEPTIVE PRACTICE,135
2002,67,OTHER OFFENSE,523
2002,67,ASSAULT,906
2002,67,CRIMINAL DAMAGE,1151
2002,67,PUBLIC PEACE VIOLATION,55
2002,67,INTIMIDATION,3
2002,67,INTERFERENCE WITH PUBLIC OFFICER,13
2002,67,ROBBERY,385
2002,67,BATTERY,2999
2002,67,PROSTITUTION,136
2002,67,BURGLARY,473
2002,67,SEX OFFENSE,45
2002,67,THEFT,1128
2002,67,KIDNAPPING,15
2002,68,ARSON,17
2002,68,OFFENSE INVOLVING CHILDREN,62
2002,68,NARCOTICS,996
2002,68,PUBLIC PEACE VIOLATION,43
2002,68,LIQUOR LAW VIOLATION,14
2002,68,STALKING,2
2002,68,CRIMINAL SEXUAL ASSAULT,2
2002,68,HOMICIDE,23
2002,68,KIDNAPPING,9
2002,68,GAMBLING,35
2002,68,CRIMINAL DAMAGE,1085
2002,68,OTHER OFFENSE,505
2002,68,MOTOR VEHICLE THEFT,429
2002,68,PROSTITUTION,49
2002,68,DECEPTIVE PRACTICE,149
2002,68,ROBBERY,398
2002,68,SEX OFFENSE,35
2002,68,BATTERY,2708
2002,68,RITUALISM,1
2002,68,ASSAULT,859
2002,68,INTERFERENCE WITH PUBLIC OFFICER,5
2002,68,BURGLARY,497
2002,68,INTIMIDATION,8
2002,68,WEAPONS VIOLATION,106
2002,68,THEFT,1307
2002,68,CRIM SEXUAL ASSAULT,66
2002,68,CRIMINAL TRESPASS,135
2002,69,CRIMINAL DAMAGE,925
2002,69,MOTOR VEHICLE THEFT,492
2002,69,CRIM SEXUAL ASSAULT,31
2002,69,CRIMINAL TRESPASS,180
2002,69,OTHER OFFENSE,542
2002,69,WEAPONS VIOLATION,69
2002,69,PUBLIC INDECENCY,2
2002,69,ASSAULT,715
2002,69,INTIMIDATION,4
2002,69,THEFT,1266
2002,69,DECEPTIVE PRACTICE,177
2002,69,ROBBERY,492
2002,69,OFFENSE INVOLVING CHILDREN,66
2002,69,STALKING,5
2002,69,BATTERY,1930
2002,69,HOMICIDE,16
2002,69,PUBLIC PEACE VIOLATION,35
2002,69,INTERFERENCE WITH PUBLIC OFFICER,4
2002,69,SEX OFFENSE,29
2002,69,LIQUOR LAW VIOLATION,3
2002,69,PROSTITUTION,28
2002,69,GAMBLING,22
2002,69,KIDNAPPING,6
2002,69,ARSON,19
2002,69,NARCOTICS,521
2002,69,BURGLARY,333
2002,70,DECEPTIVE PRACTICE,97
2002,70,LIQUOR LAW VIOLATION,3
2002,70,ROBBERY,139
2002,70,CRIM SEXUAL ASSAULT,12
2002,70,WEAPONS VIOLATION,21
2002,70,CRIMINAL DAMAGE,424
2002,70,THEFT,724
2002,70,ASSAULT,231
2002,70,SEX OFFENSE,16
2002,70,MOTOR VEHICLE THEFT,206
2002,70,ARSON,4
2002,70,STALKING,4
2002,70,HOMICIDE,5
2002,70,OFFENSE INVOLVING CHILDREN,27
2002,70,PROSTITUTION,2
2002,70,GAMBLING,2
2002,70,INTERFERENCE WITH PUBLIC OFFICER,1
2002,70,BURGLARY,173
2002,70,OTHER OFFENSE,269
2002,70,KIDNAPPING,7
2002,70,CRIMINAL TRESPASS,51
2002,70,PUBLIC PEACE VIOLATION,11
2002,70,NARCOTICS,53
2002,70,BATTERY,521
2002,71,DECEPTIVE PRACTICE,183
2002,71,BURGLARY,600
2002,71,INTIMIDATION,7
2002,71,OFFENSE INVOLVING CHILDREN,66
2002,71,THEFT,1420
2002,71,SEX OFFENSE,49
2002,71,KIDNAPPING,20
2002,71,BATTERY,2015
2002,71,CRIMINAL DAMAGE,1048
2002,71,INTERFERENCE WITH PUBLIC OFFICER,6
2002,71,ARSON,17
2002,71,HOMICIDE,12
2002,71,LIQUOR LAW VIOLATION,13
2002,71,MOTOR VEHICLE THEFT,521
2002,71,ROBBERY,363
2002,71,PROSTITUTION,28
2002,71,ASSAULT,628
2002,71,WEAPONS VIOLATION,80
2002,71,GAMBLING,27
2002,71,NARCOTICS,877
2002,71,CRIMINAL SEXUAL ASSAULT,1
2002,71,PUBLIC PEACE VIOLATION,36
2002,71,OTHER OFFENSE,638
2002,71,OBSCENITY,2
2002,71,CRIM SEXUAL ASSAULT,51
2002,71,STALKING,6
2002,71,CRIMINAL TRESPASS,263
2002,72,NARCOTICS,30
2002,72,LIQUOR LAW VIOLATION,5
2002,72,INTIMIDATION,3
2002,72,CRIMINAL DAMAGE,188
2002,72,DECEPTIVE PRACTICE,76
2002,72,ROBBERY,40
2002,72,MOTOR VEHICLE THEFT,132
2002,72,SEX OFFENSE,6
2002,72,PUBLIC PEACE VIOLATION,7
2002,72,CRIMINAL SEXUAL ASSAULT,1
2002,72,INTERFERENCE WITH PUBLIC OFFICER,2
2002,72,OFFENSE INVOLVING CHILDREN,13
2002,72,WEAPONS VIOLATION,10
2002,72,HOMICIDE,1
2002,72,KIDNAPPING,14
2002,72,ASSAULT,68
2002,72,CRIMINAL TRESPASS,36
2002,72,CRIM SEXUAL ASSAULT,4
2002,72,OTHER OFFENSE,106
2002,72,BATTERY,164
2002,72,BURGLARY,120
2002,72,THEFT,421
2002,72,STALKING,1
2002,73,BURGLARY,166
2002,73,DECEPTIVE PRACTICE,93
2002,73,CRIMINAL DAMAGE,469
2002,73,OTHER OFFENSE,361
2002,73,WEAPONS VIOLATION,39
2002,73,HOMICIDE,7
2002,73,KIDNAPPING,8
2002,73,LIQUOR LAW VIOLATION,3
2002,73,OFFENSE INVOLVING CHILDREN,32
2002,73,BATTERY,786
2002,73,CRIM SEXUAL ASSAULT,15
2002,73,PUBLIC PEACE VIOLATION,22
2002,73,SEX OFFENSE,13
2002,73,ARSON,5
2002,73,INTIMIDATION,5
2002,73,GAMBLING,9
2002,73,PROSTITUTION,2
2002,73,CRIMINAL TRESPASS,87
2002,73,ASSAULT,290
2002,73,INTERFERENCE WITH PUBLIC OFFICER,3
2002,73,MOTOR VEHICLE THEFT,242
2002,73,THEFT,749
2002,73,ROBBERY,167
2002,73,STALKING,4
2002,73,NARCOTICS,435
2002,74,WEAPONS VIOLATION,2
2002,74,CRIM SEXUAL ASSAULT,2
2002,74,OFFENSE INVOLVING CHILDREN,10
2002,74,MOTOR VEHICLE THEFT,31
2002,74,DECEPTIVE PRACTICE,41
2002,74,OTHER OFFENSE,77
2002,74,CRIMINAL TRESPASS,19
2002,74,CRIMINAL DAMAGE,140
2002,74,LIQUOR LAW VIOLATION,9
2002,74,NARCOTICS,27
2002,74,ROBBERY,10
2002,74,STALKING,1
2002,74,BURGLARY,33
2002,74,PUBLIC PEACE VIOLATION,7
2002,74,BATTERY,123
2002,74,THEFT,207
2002,74,SEX OFFENSE,7
2002,74,INTERFERENCE WITH PUBLIC OFFICER,1
2002,74,INTIMIDATION,2
2002,74,KIDNAPPING,11
2002,74,ASSAULT,71
2002,75,ROBBERY,92
2002,75,BURGLARY,122
2002,75,PUBLIC PEACE VIOLATION,21
2002,75,MOTOR VEHICLE THEFT,154
2002,75,CRIMINAL DAMAGE,382
2002,75,KIDNAPPING,11
2002,75,ARSON,6
2002,75,OTHER OFFENSE,251
2002,75,INTIMIDATION,4
2002,75,STALKING,1
2002,75,INTERFERENCE WITH PUBLIC OFFICER,4
2002,75,WEAPONS VIOLATION,27
2002,75,GAMBLING,3
2002,75,CRIM SEXUAL ASSAULT,7
2002,75,OFFENSE INVOLVING CHILDREN,22
2002,75,ASSAULT,199
2002,75,THEFT,550
2002,75,SEX OFFENSE,6
2002,75,BATTERY,521
2002,75,CRIMINAL TRESPASS,77
2002,75,DECEPTIVE PRACTICE,69
2002,75,NARCOTICS,229
2002,75,LIQUOR LAW VIOLATION,9
2002,75,HOMICIDE,1
2002,76,THEFT,793
2002,76,STALKING,2
2002,76,BURGLARY,34
2002,76,CRIMINAL TRESPASS,305
2002,76,CRIM SEXUAL ASSAULT,3
2002,76,MOTOR VEHICLE THEFT,75
2002,76,OFFENSE INVOLVING CHILDREN,2
2002,76,NARCOTICS,106
2002,76,CRIMINAL DAMAGE,197
2002,76,ASSAULT,87
2002,76,ARSON,3
2002,76,SEX OFFENSE,12
2002,76,INTERFERENCE WITH PUBLIC OFFICER,2
2002,76,BATTERY,177
2002,76,OTHER OFFENSE,121
2002,76,PUBLIC PEACE VIOLATION,30
2002,76,ROBBERY,4
2002,76,DECEPTIVE PRACTICE,230
2002,76,PROSTITUTION,1
2002,76,WEAPONS VIOLATION,55
2002,76,LIQUOR LAW VIOLATION,1
2002,77,CRIM SEXUAL ASSAULT,7
2002,77,WEAPONS VIOLATION,17
2002,77,THEFT,1059
2002,77,OTHER OFFENSE,339
2002,77,OFFENSE INVOLVING CHILDREN,14
2002,77,LIQUOR LAW VIOLATION,23
2002,77,ASSAULT,201
2002,77,INTIMIDATION,3
2002,77,DECEPTIVE PRACTICE,173
2002,77,BURGLARY,223
2002,77,INTERFERENCE WITH PUBLIC OFFICER,1
2002,77,CRIMINAL TRESPASS,107
2002,77,KIDNAPPING,8
2002,77,ROBBERY,137
2002,77,MOTOR VEHICLE THEFT,135
2002,77,GAMBLING,14
2002,77,PUBLIC PEACE VIOLATION,35
2002,77,SEX OFFENSE,24
2002,77,CRIMINAL DAMAGE,424
2002,77,STALKING,1
2002,77,ARSON,6
2002,77,NARCOTICS,165
2002,77,PROSTITUTION,23
2002,77,OBSCENITY,2
2002,77,BATTERY,628
2002,77,HOMICIDE,2
2002,,CRIMINAL DAMAGE,15754
2002,,CRIMINAL SEXUAL ASSAULT,5
2002,,ASSAULT,8446
2002,,WEAPONS VIOLATION,1271
2002,,SEX OFFENSE,490
2002,,BURGLARY,6517
2002,,OTHER NARCOTIC VIOLATION,3
2002,,DECEPTIVE PRACTICE,3348
2002,,MOTOR VEHICLE THEFT,6017
2002,,ROBBERY,4862
2002,,GAMBLING,194
2002,,STALKING,58
2002,,OBSCENITY,7
2002,,PUBLIC PEACE VIOLATION,665
2002,,CRIM SEXUAL ASSAULT,421
2002,,OFFENSE INVOLVING CHILDREN,554
